student_id,tutor_id,feedback_score,session_count,match_success
S054,T042,3.3,2,0
S060,T024,3.1,4,0
S068,T018,4.6,2,1
S088,T039,3.9,1,0
S055,T002,4.0,1,0
S085,T017,3.2,4,0
S093,T015,4.1,1,1
S006,T011,3.4,5,0
S090,T005,4.1,3,1
S055,T012,4.8,1,1
S027,T047,4.3,3,1
S027,T012,4.7,4,1
S055,T014,4.3,5,1
S025,T039,4.1,5,1
S008,T020,4.3,1,1
S007,T018,4.8,4,1
S081,T003,4.5,5,1
S032,T019,4.4,1,1
S075,T022,4.6,1,1
S094,T007,4.1,5,1
S018,T050,3.3,5,0
S074,T002,3.8,1,0
S016,T040,4.9,3,1
S051,T029,3.5,5,0
S017,T022,3.1,5,0
S070,T035,3.0,5,0
S041,T032,3.7,1,0
S020,T013,4.7,2,1
S025,T032,3.3,1,0
S051,T046,3.8,1,0
S003,T027,3.4,4,0
S018,T018,3.2,5,0
S021,T010,4.9,5,1
S013,T045,3.2,1,0
S020,T040,4.8,4,1
S036,T046,4.8,5,1
S058,T036,3.9,1,0
S026,T046,4.4,2,1
S078,T007,3.5,2,0
S079,T008,3.4,5,0
S094,T031,3.4,4,0
S044,T032,3.1,1,0
S049,T003,4.8,5,1
S033,T038,4.7,2,1
S076,T039,3.2,4,0
S077,T018,4.6,2,1
S040,T008,3.4,4,0
S091,T029,3.8,2,0
S056,T043,4.0,2,0
S042,T030,3.8,2,0
S038,T034,4.8,4,1
S053,T045,4.9,2,1
S047,T001,3.5,3,0
S018,T004,3.2,1,0
S001,T007,3.0,3,0
S031,T030,3.3,3,0
S100,T026,4.0,2,0
S064,T028,3.2,3,0
S032,T045,4.7,1,1
S004,T046,4.2,2,1
S027,T031,3.5,5,0
S090,T006,3.2,1,0
S020,T037,4.4,1,1
S099,T007,4.4,1,1
S004,T010,4.5,1,1
S069,T036,3.5,1,0
S064,T003,3.2,5,0
S003,T030,4.7,4,1
S014,T026,4.5,5,1
S028,T029,4.4,2,1
S035,T028,3.3,3,0
S062,T005,3.7,1,0
S037,T044,3.9,4,0
S050,T010,4.7,4,1
S041,T012,3.0,3,0
S054,T039,4.4,2,1
S060,T048,4.6,5,1
S056,T004,4.1,1,1
S052,T041,3.6,5,0
S037,T007,4.7,3,1
S073,T022,3.2,4,0
S080,T009,4.4,1,1
S096,T024,4.8,1,1
S041,T043,3.3,1,0
S039,T030,5.0,3,1
S050,T046,3.5,1,0
S029,T022,3.6,1,0
S011,T010,4.6,2,1
S088,T029,4.3,1,1
S003,T011,4.7,2,1
S040,T050,4.1,2,1
S046,T002,4.2,5,1
S093,T043,4.2,2,1
S076,T013,4.6,2,1
S027,T011,3.4,4,0
S048,T019,4.0,1,0
S056,T015,4.1,2,1
S085,T049,4.8,5,1
S025,T046,4.5,3,1
S035,T038,4.4,3,1
S054,T045,4.4,4,1
S068,T026,4.0,3,0
S030,T041,4.2,5,1
S086,T014,4.5,2,1
S042,T036,4.2,4,1
S090,T005,4.8,1,1
S064,T014,3.0,1,0
S060,T028,3.6,1,0
S085,T040,3.6,4,0
S087,T034,3.7,2,0
S008,T026,3.1,3,0
S062,T035,4.2,2,1
S070,T038,3.7,2,0
S024,T029,4.1,3,1
S047,T050,4.2,1,1
S005,T031,3.0,2,0
S051,T008,3.9,4,0
S016,T022,4.8,3,1
S050,T014,3.8,3,0
S045,T021,3.0,2,0
S036,T012,3.9,4,0
S015,T003,3.5,1,0
S056,T023,3.5,2,0
S097,T050,4.4,3,1
S027,T015,3.6,4,0
S092,T001,4.6,2,1
S035,T031,4.5,5,1
S036,T024,4.7,1,1
S022,T008,4.3,5,1
S008,T010,3.3,3,0
S061,T014,3.9,4,0
S088,T047,4.5,3,1
S009,T030,4.9,4,1
S086,T013,3.6,2,0
S062,T023,3.4,5,0
S045,T011,3.1,2,0
S092,T020,4.7,1,1
S048,T049,3.5,2,0
S067,T011,3.5,2,0
S065,T020,3.7,5,0
S072,T026,4.7,5,1
S018,T025,3.2,4,0
S078,T039,4.6,3,1
S009,T032,4.5,2,1
S049,T015,3.9,1,0
S055,T008,5.0,5,1
S043,T031,4.1,5,1
S015,T023,5.0,1,1
S085,T015,3.3,2,0
S019,T017,4.9,2,1
S083,T018,4.9,5,1
S027,T028,3.1,2,0
S088,T046,4.4,1,1
S055,T024,5.0,4,1
S023,T016,4.8,2,1
S048,T050,3.8,1,0
S023,T001,4.2,3,1
S022,T041,3.8,1,0
S081,T049,3.6,1,0
S064,T017,4.3,4,1
S061,T013,4.0,3,0
S087,T044,3.6,2,0
S084,T039,4.5,5,1
S068,T020,3.8,5,0
S011,T014,3.2,5,0
S028,T017,3.0,5,0
S012,T042,3.1,1,0
S046,T015,4.9,1,1
S096,T035,3.2,5,0
S025,T028,4.8,2,1
S019,T045,4.0,4,0
S071,T008,3.3,5,0
S093,T018,3.3,5,0
S059,T019,3.4,5,0
S046,T041,3.1,3,0
S024,T013,4.3,1,1
S015,T016,3.0,2,0
S042,T040,3.8,1,0
S028,T006,4.8,3,1
S030,T032,3.8,2,0
S097,T025,3.3,3,0
S058,T033,3.8,4,0
S067,T021,4.2,1,1
S033,T018,3.6,5,0
S041,T010,3.8,2,0
S068,T026,3.2,2,0
S011,T046,4.6,4,1
S076,T014,3.3,4,0
S091,T029,4.1,1,1
S074,T045,4.7,3,1
S100,T016,3.4,4,0
S024,T034,4.2,2,1
S082,T012,4.8,1,1
S013,T024,4.9,3,1
S010,T030,3.2,2,0
S041,T044,3.0,1,0
S025,T025,3.6,3,0
S024,T046,4.6,3,1
S029,T045,4.0,2,0
S002,T038,3.8,5,0
